episode,episode_seed,return,epsilon,replay_size,total_steps,episode_updates,mean_loss,elapsed_sec,difficulty,wall_obstacles,max_steps,box_speed
72,132,-31569.000000,0.661035,71361,71361,1000,84.06615560,1304.60,0,1,1000,2
73,133,-14567.000000,0.656285,72361,72361,1000,83.93564049,1323.04,0,1,1000,2
74,134,-18079.000000,0.651535,73361,73361,1000,83.91319739,1342.05,0,1,1000,2
75,135,-971.000000,0.646785,74361,74361,1000,85.92958020,1361.25,0,1,1000,2
76,136,-31367.000000,0.642035,75361,75361,1000,84.68088319,1380.10,0,1,1000,2
77,137,-982.000000,0.637285,76361,76361,1000,87.76130554,1398.76,0,1,1000,2
78,138,-10780.000000,0.632535,77361,77361,1000,86.50641547,1417.79,0,1,1000,2
79,139,-44382.000000,0.627785,78361,78361,1000,88.64838345,1436.37,0,1,1000,2
80,140,-17372.000000,0.626398,78653,78653,292,91.31436440,1441.93,0,1,1000,2
81,141,-32971.000000,0.621648,79653,79653,1000,91.08303333,1460.83,0,1,1000,2
82,142,-14767.000000,0.616898,80653,80653,1000,92.73745656,1479.76,0,1,1000,2
83,143,2029.000000,0.616409,80756,80756,103,94.74249238,1481.92,0,1,1000,2
84,144,1667.000000,0.614219,81217,81217,461,91.41152723,1490.61,0,1,1000,2
85,145,-32969.000000,0.609469,82217,82217,1000,90.77399261,1510.00,0,1,1000,2
86,146,-136779.000000,0.604719,83217,83217,1000,93.03502110,1528.87,0,1,1000,2
87,147,-15767.000000,0.599969,84217,84217,1000,93.92405622,1548.68,0,1,1000,2
88,148,-16767.000000,0.595219,85217,85217,1000,94.39849114,1568.24,0,1,1000,2
89,149,-55973.000000,0.590469,86217,86217,1000,94.97496875,1587.67,0,1,1000,2
90,150,-25169.000000,0.585719,87217,87217,1000,97.72817137,1607.46,0,1,1000,2
91,151,-8367.000000,0.580969,88217,88217,1000,99.35470146,1627.28,0,1,1000,2
92,152,-51575.000000,0.576219,89217,89217,1000,100.79878567,1646.60,0,1,1000,2
93,153,-59588.000000,0.571469,90217,90217,1000,101.23614862,1665.98,0,1,1000,2
94,154,-9569.000000,0.566719,91217,91217,1000,104.66285051,1685.05,0,1,1000,2
95,155,-65979.000000,0.561969,92217,92217,1000,106.53368473,1704.91,0,1,1000,2
96,156,-15567.000000,0.557219,93217,93217,1000,110.03826587,1725.09,0,1,1000,2
97,157,-23367.000000,0.552469,94217,94217,1000,109.43656835,1744.72,0,1,1000,2
98,158,-83668.000000,0.547719,95217,95217,1000,109.65094683,1764.21,0,1,1000,2
99,159,-88979.000000,0.542969,96217,96217,1000,112.30457135,1784.13,0,1,1000,2
100,160,-1271.000000,0.541055,96620,96620,403,112.68566655,1792.29,0,1,1000,2
101,161,-45478.000000,0.536305,97620,97620,1000,110.57716072,1812.29,0,1,1000,2
102,162,-40769.000000,0.531555,98620,98620,1000,106.48622138,1832.60,0,1,1000,2
103,163,-34568.000000,0.526805,99620,99620,1000,98.28225865,1851.85,0,1,1000,2
104,164,-5881.000000,0.522948,100000,100432,812,98.39681970,1868.27,0,1,1000,2
105,165,-31678.000000,0.518198,100000,101432,1000,97.82916649,1888.20,0,1,1000,2
106,166,-34767.000000,0.513448,100000,102432,1000,94.60358542,1908.08,0,1,1000,2
107,167,-66367.000000,0.508698,100000,103432,1000,91.20465808,1927.79,0,1,1000,2
108,168,-8367.000000,0.503948,100000,104432,1000,91.36191728,1948.19,0,1,1000,2
109,169,-2579.000000,0.499198,100000,105432,1000,89.53700036,1968.41,0,1,1000,2
110,170,-14169.000000,0.494448,100000,106432,1000,87.00669219,1988.84,0,1,1000,2
111,171,-22872.000000,0.489698,100000,107432,1000,86.81542314,2009.11,0,1,1000,2
112,172,-34771.000000,0.484948,100000,108432,1000,86.12667884,2028.80,0,1,1000,2
113,173,-57369.000000,0.480198,100000,109432,1000,86.59621161,2048.99,0,1,1000,2
114,174,-19176.000000,0.475448,100000,110432,1000,84.85154470,2068.94,0,1,1000,2
115,175,-29967.000000,0.470698,100000,111432,1000,84.89954703,2088.90,0,1,1000,2
116,176,-17877.000000,0.465948,100000,112432,1000,82.53340970,2109.20,0,1,1000,2
117,177,-25591.000000,0.461198,100000,113432,1000,80.47883111,2128.66,0,1,1000,2
118,178,-13375.000000,0.456448,100000,114432,1000,78.70134316,2149.03,0,1,1000,2
119,179,-22567.000000,0.451698,100000,115432,1000,77.60734021,2168.92,0,1,1000,2
120,180,-5568.000000,0.446948,100000,116432,1000,73.00296301,2189.31,0,1,1000,2
121,181,-14567.000000,0.442198,100000,117432,1000,68.38729160,2209.36,0,1,1000,2
122,182,-7767.000000,0.437448,100000,118432,1000,69.08713901,2229.28,0,1,1000,2
123,183,-49967.000000,0.432698,100000,119432,1000,66.08580966,2249.33,0,1,1000,2
124,184,-69769.000000,0.427948,100000,120432,1000,67.34236826,2269.13,0,1,1000,2
125,185,2062.000000,0.427710,100000,120482,50,64.66387978,2270.17,0,1,1000,2
126,186,-37200.000000,0.422961,100000,121482,1000,67.66214140,2291.35,0,1,1000,2
127,187,1969.000000,0.422196,100000,121643,161,65.24148831,2294.57,0,1,1000,2
128,188,-86868.000000,0.417446,100000,122643,1000,67.43764425,2314.59,0,1,1000,2
129,189,-3372.000000,0.412696,100000,123643,1000,67.94072001,2334.25,0,1,1000,2
130,190,-8970.000000,0.407946,100000,124643,1000,69.60166897,2354.29,0,1,1000,2
131,191,-22568.000000,0.403196,100000,125643,1000,69.96448307,2376.75,0,1,1000,2
132,192,-39068.000000,0.398446,100000,126643,1000,69.75650011,2397.21,0,1,1000,2
133,193,-27268.000000,0.393696,100000,127643,1000,70.57837085,2416.96,0,1,1000,2
134,194,-4569.000000,0.388946,100000,128643,1000,71.72372713,2436.16,0,1,1000,2
135,195,-22386.000000,0.384196,100000,129643,1000,68.86874923,2455.44,0,1,1000,2
136,196,-53176.000000,0.379446,100000,130643,1000,65.95917411,2475.27,0,1,1000,2
137,197,-12869.000000,0.374696,100000,131643,1000,68.49301914,2500.88,0,1,1000,2
138,198,-33574.000000,0.369946,100000,132643,1000,69.08041757,2525.15,0,1,1000,2
139,199,-34572.000000,0.365196,100000,133643,1000,69.75067566,2548.22,0,1,1000,2
140,200,-17574.000000,0.360446,100000,134643,1000,71.52911716,2571.01,0,1,1000,2
141,201,-88976.000000,0.355696,100000,135643,1000,72.85688900,2591.52,0,1,1000,2
142,202,-10967.000000,0.350946,100000,136643,1000,75.64172502,2612.44,0,1,1000,2
143,203,1939.000000,0.350100,100000,136821,178,79.23974961,2616.33,0,1,1000,2
144,204,-50370.000000,0.345350,100000,137821,1000,76.57398162,2636.83,0,1,1000,2
145,205,-44367.000000,0.340600,100000,138821,1000,79.19674328,2657.67,0,1,1000,2
146,206,-15367.000000,0.335850,100000,139821,1000,78.77324854,2680.09,0,1,1000,2
147,207,-27974.000000,0.331100,100000,140821,1000,80.78576464,2702.13,0,1,1000,2
148,208,-65071.000000,0.326350,100000,141821,1000,80.31628588,2723.36,0,1,1000,2
149,209,-52188.000000,0.321600,100000,142821,1000,83.88216703,2744.20,0,1,1000,2
150,210,-8767.000000,0.316850,100000,143821,1000,86.03515853,2764.96,0,1,1000,2
151,211,-53776.000000,0.312100,100000,144821,1000,87.07211849,2786.50,0,1,1000,2
152,212,-881.000000,0.310139,100000,145234,413,88.16639939,2795.34,0,1,1000,2
153,213,-70367.000000,0.305389,100000,146234,1000,88.35520408,2815.88,0,1,1000,2
154,214,-43167.000000,0.300639,100000,147234,1000,90.65198353,2837.03,0,1,1000,2
155,215,-31969.000000,0.295888,100000,148234,1000,93.29229914,2857.56,0,1,1000,2
156,216,-8868.000000,0.291139,100000,149234,1000,94.18844978,2878.69,0,1,1000,2
157,217,-50072.000000,0.286389,100000,150234,1000,95.29019815,2899.63,0,1,1000,2
158,218,-10976.000000,0.281639,100000,151234,1000,96.81001103,2920.80,0,1,1000,2
159,219,-1972.000000,0.276888,100000,152234,1000,95.30219940,2942.08,0,1,1000,2
160,220,-152585.000000,0.272139,100000,153234,1000,98.95830901,2962.53,0,1,1000,2
161,221,-122170.000000,0.267389,100000,154234,1000,102.64413199,2983.57,0,1,1000,2
162,222,-42984.000000,0.262638,100000,155234,1000,108.93310033,3004.52,0,1,1000,2
163,223,-37367.000000,0.257888,100000,156234,1000,107.64337112,3026.06,0,1,1000,2
164,224,-21468.000000,0.253139,100000,157234,1000,109.37926111,3047.71,0,1,1000,2
165,225,-15170.000000,0.248389,100000,158234,1000,102.79776591,3068.44,0,1,1000,2
166,226,-17367.000000,0.243638,100000,159234,1000,86.68281335,3091.31,0,1,1000,2
167,227,-876.000000,0.238888,100000,160234,1000,84.29720718,3112.87,0,1,1000,2
168,228,-117371.000000,0.234139,100000,161234,1000,79.77750493,3133.80,0,1,1000,2
169,229,-3781.000000,0.229389,100000,162234,1000,80.17008278,3154.84,0,1,1000,2
170,230,-47670.000000,0.224639,100000,163234,1000,77.10826393,3176.01,0,1,1000,2
171,231,-41581.000000,0.219889,100000,164234,1000,78.07624056,3196.81,0,1,1000,2
172,232,-52068.000000,0.215139,100000,165234,1000,78.99795217,3217.87,0,1,1000,2
173,233,-13576.000000,0.210389,100000,166234,1000,78.73011187,3238.52,0,1,1000,2
174,234,-59783.000000,0.205639,100000,167234,1000,78.97108222,3260.24,0,1,1000,2
175,235,-56567.000000,0.200889,100000,168234,1000,80.35324357,3282.15,0,1,1000,2
176,236,-5372.000000,0.196139,100000,169234,1000,81.38269402,3303.89,0,1,1000,2
177,237,-50167.000000,0.191389,100000,170234,1000,80.46657919,3325.44,0,1,1000,2
178,238,-28181.000000,0.186639,100000,171234,1000,83.57951484,3346.15,0,1,1000,2
179,239,-109569.000000,0.181889,100000,172234,1000,83.46311504,3367.07,0,1,1000,2
180,240,-37773.000000,0.177139,100000,173234,1000,87.28454387,3388.01,0,1,1000,2
181,241,-57868.000000,0.172389,100000,174234,1000,86.68355726,3409.30,0,1,1000,2
182,242,-46492.000000,0.167639,100000,175234,1000,90.67466890,3429.85,0,1,1000,2
183,243,-37368.000000,0.162888,100000,176234,1000,91.28436119,3450.87,0,1,1000,2
184,244,-124167.000000,0.158139,100000,177234,1000,91.00913264,3471.55,0,1,1000,2
185,245,-82367.000000,0.153389,100000,178234,1000,93.03301276,3492.86,0,1,1000,2
186,246,-154178.000000,0.148639,100000,179234,1000,93.94471708,3514.02,0,1,1000,2
187,247,-16771.000000,0.143888,100000,180234,1000,91.74414318,3534.83,0,1,1000,2
188,248,-69367.000000,0.139139,100000,181234,1000,95.02430606,3556.07,0,1,1000,2
189,249,2011.000000,0.138635,100000,181340,106,95.43032423,3558.30,0,1,1000,2
190,250,-133171.000000,0.133885,100000,182340,1000,95.23546577,3579.51,0,1,1000,2
191,251,-51767.000000,0.129135,100000,183340,1000,95.72691464,3600.39,0,1,1000,2
192,252,-58967.000000,0.124385,100000,184340,1000,96.68139974,3621.90,0,1,1000,2
193,253,-67968.000000,0.119635,100000,185340,1000,96.47331650,3642.50,0,1,1000,2
194,254,1976.000000,0.119003,100000,185473,133,96.19239724,3645.02,0,1,1000,2
195,255,-105976.000000,0.114253,100000,186473,1000,97.19078163,3666.50,0,1,1000,2
196,256,-59568.000000,0.109503,100000,187473,1000,96.19341725,3687.04,0,1,1000,2
197,257,-87288.000000,0.104753,100000,188473,1000,97.87113466,3708.26,0,1,1000,2
198,258,-153567.000000,0.100003,100000,189473,1000,97.52065233,3730.30,0,1,1000,2
199,259,-20774.000000,0.095253,100000,190473,1000,96.41901001,3751.47,0,1,1000,2
200,260,-116167.000000,0.090503,100000,191473,1000,98.78313340,3771.44,0,1,1000,2
201,261,-127569.000000,0.085753,100000,192473,1000,96.30444814,3792.55,0,1,1000,2
202,262,-28580.000000,0.081003,100000,193473,1000,93.68825514,3813.34,0,1,1000,2
203,263,-90367.000000,0.076253,100000,194473,1000,96.42550319,3834.83,0,1,1000,2
204,264,-111584.000000,0.071503,100000,195473,1000,95.33102366,3856.16,0,1,1000,2
205,265,-973.000000,0.066753,100000,196473,1000,95.35416989,3879.58,0,1,1000,2
206,266,-40372.000000,0.062003,100000,197473,1000,93.00239760,3905.56,0,1,1000,2
207,267,-131371.000000,0.057253,100000,198473,1000,95.48544005,3926.42,0,1,1000,2
208,268,-39567.000000,0.052503,100000,199473,1000,93.78827559,3947.43,0,1,1000,2
209,269,-976.000000,0.050000,100000,200473,1000,96.34431757,3967.77,0,1,1000,2
210,270,-145170.000000,0.050000,100000,201473,1000,98.04430537,3988.72,0,1,1000,2
211,271,-74987.000000,0.050000,100000,202473,1000,98.90658193,4009.88,0,1,1000,2
212,272,-59872.000000,0.050000,100000,203473,1000,99.69113658,4031.16,0,1,1000,2
213,273,-141567.000000,0.050000,100000,204473,1000,98.89861492,4052.31,0,1,1000,2
214,274,-105170.000000,0.050000,100000,205473,1000,97.80327384,4073.45,0,1,1000,2
215,275,-67583.000000,0.050000,100000,206473,1000,100.84944843,4094.72,0,1,1000,2
216,276,-988.000000,0.050000,100000,207473,1000,102.39406898,4117.09,0,1,1000,2
217,277,-146376.000000,0.050000,100000,208473,1000,101.06281405,4139.27,0,1,1000,2
218,278,-73372.000000,0.050000,100000,209473,1000,98.95851516,4161.36,0,1,1000,2
219,279,-48974.000000,0.050000,100000,210473,1000,100.26282257,4183.20,0,1,1000,2
