Checkpoint,Folder,Mean_L3,Std_L3
weights_ep1800.pth,submission_versions\phase3_s44,-173415.600,50901.421
weights_ep2000.pth,submission_versions\phase3_s44,-165972.400,56306.008
weights_ep2200.pth,submission_versions\phase3_s44,-41540.100,65699.709
weights_ep2400.pth,submission_versions\phase3_s44,-19894.800,59779.556
weights_ep2600.pth,submission_versions\phase3_s44,-128143.900,83248.092
weights_ep2800.pth,submission_versions\phase3_s44,-135439.300,76735.066
weights_ep3000.pth,submission_versions\phase3_s44,-189291.800,10643.298
weights_ep3200.pth,submission_versions\phase3_s44,-173417.100,48388.983
weights_ep3400.pth,submission_versions\phase3_s44,-128022.800,79530.317
weights_ep3600.pth,submission_versions\phase3_s44,-173920.200,52290.904
weights_ep3800.pth,submission_versions\phase3_s44,-172621.900,51414.654
weights_ep4000.pth,submission_versions\phase3_s44,-156740.200,71124.540
weights.pth,submission_versions\phase3_wall_s45,-653.300,879.551
weights_ep0200.pth,submission_versions\phase3_wall_s45,-652.000,879.815
weights_ep0400.pth,submission_versions\phase3_wall_s45,-60737.200,81481.791
weights_ep0600.pth,submission_versions\phase3_wall_s45,-651.700,880.714
weights_ep0800.pth,submission_versions\phase3_wall_s45,-60018.700,83165.372
weights_ep1000.pth,submission_versions\phase3_wall_s45,-9225.200,25836.666
weights_ep1200.pth,submission_versions\phase3_wall_s45,-651.500,880.641
weights_ep1400.pth,submission_versions\phase3_wall_s45,-652.200,879.216
weights_ep1600.pth,submission_versions\phase3_wall_s45,-651.500,880.641
weights_ep1800.pth,submission_versions\phase3_wall_s45,-75970.000,77295.653
weights_ep2000.pth,submission_versions\phase3_wall_s45,-653.300,879.551
weights.pth,submission_versions\phase3_wall_s46,-143139.500,73225.339
weights_ep0200.pth,submission_versions\phase3_wall_s46,-651.200,880.529
weights_ep0400.pth,submission_versions\phase3_wall_s46,-651.700,880.714
weights_ep0600.pth,submission_versions\phase3_wall_s46,-174457.300,50242.029
weights_ep0800.pth,submission_versions\phase3_wall_s46,-132164.500,74344.419
weights_ep1000.pth,submission_versions\phase3_wall_s46,-143624.800,66807.511
weights_ep1200.pth,submission_versions\phase3_wall_s46,-655.200,880.225
weights_ep1400.pth,submission_versions\phase3_wall_s46,-652.000,879.143
weights_ep1600.pth,submission_versions\phase3_wall_s46,-29415.500,58031.240
weights_ep1800.pth,submission_versions\phase3_wall_s46,-653.600,879.614
weights_ep2000.pth,submission_versions\phase3_wall_s46,-45931.600,75495.958
weights_ep2200.pth,submission_versions\phase3_wall_s46,-167087.300,54117.426
weights_ep2400.pth,submission_versions\phase3_wall_s46,-69603.100,79310.647
weights_ep2600.pth,submission_versions\phase3_wall_s46,-60666.800,80567.846
weights_ep2800.pth,submission_versions\phase3_wall_s46,-114167.300,78735.379
