episode,episode_seed,return,epsilon,replay_size,total_steps,episode_updates,mean_loss,elapsed_sec,difficulty,wall_obstacles,max_steps,box_speed
72,71,-26498.000000,0.050000,61391,61391,1000,34.28571854,1760.39,3,1,1000,2
73,72,-3221.000000,0.050000,62391,62391,1000,35.00918496,1790.33,3,1,1000,2
74,73,-24321.000000,0.050000,63391,63391,1000,34.60651693,1819.76,3,1,1000,2
75,74,-26646.000000,0.050000,64391,64391,1000,35.15842155,1847.93,3,1,1000,2
76,75,-42967.000000,0.050000,65391,65391,1000,34.99540004,1874.85,3,1,1000,2
77,76,-14672.000000,0.050000,66391,66391,1000,35.17027583,1901.51,3,1,1000,2
78,77,-39436.000000,0.050000,67391,67391,1000,35.40150273,1926.83,3,1,1000,2
79,78,-38192.000000,0.050000,68391,68391,1000,35.78557922,1947.29,3,1,1000,2
80,79,1581.000000,0.050000,69391,69391,1000,35.44263847,1963.63,3,1,1000,2
81,80,3547.000000,0.050000,70391,70391,1000,35.61236562,1986.05,3,1,1000,2
82,81,-32019.000000,0.050000,71391,71391,1000,35.63573503,2007.98,3,1,1000,2
83,82,-35847.000000,0.050000,72391,72391,1000,36.18626834,2030.10,3,1,1000,2
84,83,-38216.000000,0.050000,73391,73391,1000,35.50216837,2052.61,3,1,1000,2
85,84,-32438.000000,0.050000,74391,74391,1000,35.82407450,2075.35,3,1,1000,2
86,85,-37635.000000,0.050000,75391,75391,1000,36.40862183,2096.19,3,1,1000,2
87,86,-13867.000000,0.050000,76391,76391,1000,36.15032241,2118.06,3,1,1000,2
88,87,2487.000000,0.050000,76453,76453,62,35.95241940,2119.56,3,1,1000,2
89,88,-24205.000000,0.050000,77453,77453,1000,37.29234738,2142.35,3,1,1000,2
90,89,352.000000,0.050000,77841,77841,388,37.13077078,2151.16,3,1,1000,2
91,90,2458.000000,0.050000,77942,77942,101,36.54582133,2153.50,3,1,1000,2
92,91,-2019.000000,0.050000,78313,78313,371,37.35342433,2161.94,3,1,1000,2
93,92,-17822.000000,0.050000,79313,79313,1000,37.35512672,2188.36,3,1,1000,2
94,93,-20042.000000,0.050000,80313,80313,1000,37.43844239,2212.76,3,1,1000,2
95,94,-13954.000000,0.050000,81313,81313,1000,38.47455867,2235.22,3,1,1000,2
96,95,3080.000000,0.050000,81784,81784,471,38.19389370,2247.06,3,1,1000,2
97,96,3404.000000,0.050000,82230,82230,446,38.94975917,2259.53,3,1,1000,2
98,97,2715.000000,0.050000,82333,82333,103,38.24463517,2261.88,3,1,1000,2
99,98,-27030.000000,0.050000,83333,83333,1000,39.08391809,2288.24,3,1,1000,2
100,99,-7744.000000,0.050000,84333,84333,1000,39.06190869,2312.21,3,1,1000,2
101,100,-5319.000000,0.050000,85333,85333,1000,39.35486276,2339.26,3,1,1000,2
102,101,-1031.000000,0.050000,86333,86333,1000,39.67025484,2361.78,3,1,1000,2
103,102,-16770.000000,0.050000,87203,87203,870,38.93427253,2381.51,3,1,1000,2
104,103,-9518.000000,0.050000,88203,88203,1000,39.47875457,2404.56,3,1,1000,2
105,104,-20143.000000,0.050000,89203,89203,1000,40.22679773,2431.31,3,1,1000,2
106,105,-1104.000000,0.050000,90203,90203,1000,39.53658513,2454.54,3,1,1000,2
107,106,-18759.000000,0.050000,91203,91203,1000,39.84250411,2478.68,3,1,1000,2
108,107,2140.000000,0.050000,92203,92203,1000,39.90861630,2502.55,3,1,1000,2
109,108,-2785.000000,0.050000,93203,93203,1000,39.82328832,2527.05,3,1,1000,2
110,109,2439.000000,0.050000,93255,93255,52,41.85478012,2528.47,3,1,1000,2
111,110,-17182.000000,0.050000,94255,94255,1000,40.26553628,2553.81,3,1,1000,2
112,111,-21820.000000,0.050000,95166,95166,911,40.69370085,2574.97,3,1,1000,2
113,112,2873.000000,0.050000,96166,96166,1000,41.49084175,2601.62,3,1,1000,2
114,113,-26019.000000,0.050000,97166,97166,1000,41.30637877,2623.34,3,1,1000,2
115,114,-2842.000000,0.050000,98166,98166,1000,41.38698755,2645.55,3,1,1000,2
116,115,3753.000000,0.050000,98432,98432,266,42.37827688,2651.64,3,1,1000,2
117,116,4354.000000,0.050000,99432,99432,1000,41.55635764,2673.93,3,1,1000,2
