timestamp_utc,agent_name,mean_score,std_score,runs,max_steps,scaling_factor,arena_size,wall_obstacles,difficulty,box_speed
2026-04-10T03:55:48.718387+00:00,agent,-200.000000,0.000000,2,200,5,500,0,1,2
2026-04-10T04:47:35.375850+00:00,agent,-200.000000,0.000000,2,200,5,500,0,1,2
2026-04-10T08:37:16.251929+00:00,agent,-15897.500000,15700.500000,2,200,5,500,0,1,2
